Strategy,Total Return,Sharpe Ratio,Max Drawdown,Geometric Mean Return,Annualized Volatility
Buy & Hold,6.123995086442566,1.009084721572269,-0.34660863048820073,0.0008680162235141786,0.24703934659701188
Momentum (Paper 3),3.746021769387057,0.8059964633475415,-0.3449238154009179,0.0006883971304301184,0.2558108378821205
Perfect Order (Paper 4),2.386136592015075,0.9218761852491419,-0.23497015737685203,0.0005391154972962386,0.16155409386599595
TDQN AI (Paper 1),6.534943453372574,1.0212142010359684,-0.34399833447801154,0.0008928204780460636,0.2512589701182528
RPMM (Paper 2),1.7771889350322732,0.8130652861780204,-0.16924869413591184,0.00045146698956077813,0.15452731897917107
Pairs Trading (Paper 2),2.7173282892715434,0.9008967995452969,-0.2679264260950387,0.0005803739233731786,0.18040745849151246
