date,open,high,low,close,volume,dividends,stock splits
2015-01-02 00:00:00-05:00,26.430300582521202,26.589102482833976,26.196070287845032,26.278945922851562,26480000,0.0,0.0
2015-01-05 00:00:00-05:00,26.159842033382823,26.201526888631296,25.693367301046194,25.77822494506836,41182000,0.0,0.0
2015-01-06 00:00:00-05:00,25.829838535819537,25.865071897808562,25.087944557186944,25.14203643798828,54456000,0.0,0.0
2015-01-07 00:00:00-05:00,25.355916600007745,25.38271265451361,24.993654009367308,25.068090438842773,46918000,0.0,0.0
2015-01-08 00:00:00-05:00,24.887457945151546,25.184711493728862,24.56539035849883,25.155433654785156,73054000,0.0,0.0
2015-01-09 00:00:00-05:00,25.218457197288135,25.239299626508316,24.745530930705662,24.84825325012207,42000000,0.0,0.0
2015-01-12 00:00:00-05:00,24.774809750376154,24.826419847589236,24.36143299477217,24.666627883911133,57138000,0.0,0.0
2015-01-13 00:00:00-05:00,24.94005895758154,25.239298298247874,24.6765508458732,24.90184783935547,60958000,0.0,0.0
2015-01-14 00:00:00-05:00,24.83336482637398,25.222425374457995,24.7212132549497,25.10679817199707,52800000,0.0,0.0
2015-01-15 00:00:00-05:00,25.253688174016048,25.29636498418844,24.912268013501418,25.011518478393555,51068000,0.0,0.0
2015-01-16 00:00:00-05:00,24.968841611236375,25.350954698690078,24.965863850974774,25.331602096557617,49658000,0.0,0.0
2015-01-20 00:00:00-05:00,25.446233101109293,25.587168417835063,25.2775078819062,25.30579376220703,46796000,0.0,0.0
2015-01-21 00:00:00-05:00,25.350458859185682,25.896831490561922,25.288427550358755,25.824378967285156,46356000,0.0,0.0
2015-01-22 00:00:00-05:00,25.95389964352086,26.739960219628923,25.899809658931048,26.663537979125977,56068000,0.0,0.0
2015-01-23 00:00:00-05:00,26.69976350422547,27.065995819308014,26.58661808424548,26.8942928314209,45966000,0.0,0.0
2015-01-26 00:00:00-05:00,26.871964134717718,26.871964134717718,26.403999540318267,26.634756088256836,30932000,0.0,0.0
2015-01-27 00:00:00-05:00,26.370750216611732,26.439233025193477,25.847701786405633,25.864078521728516,39148000,0.0,0.0
2015-01-28 00:00:00-05:00,26.0531481320877,26.087389533644764,25.42539162760177,25.42936134338379,35822000,0.0,0.0
2015-01-29 00:00:00-05:00,25.4526860708274,25.566327469471204,24.98521747991436,25.46906280517578,79018000,0.0,0.0
2015-01-30 00:00:00-05:00,25.755399020333343,26.951362524844825,25.714706120113835,26.67594337463379,121108000,0.0,0.0
2015-02-02 00:00:00-05:00,26.515655994208572,26.623839752841796,25.890381204884132,26.410451889038086,75378000,0.0,0.0
2015-02-03 00:00:00-05:00,26.29829887195368,26.670982726731545,26.142972600970907,26.46504020690918,47062000,0.0,0.0
2015-02-04 00:00:00-05:00,26.4570961940132,26.636242637507667,26.05463666846763,26.107736587524414,33896000,0.0,0.0
2015-02-05 00:00:00-05:00,26.198550251057004,26.33551586305348,26.08490884993802,26.29283905029297,33176000,0.0,0.0
2015-02-06 00:00:00-05:00,26.351398824329213,26.80844435635436,26.23428367532672,26.49382209777832,42938000,0.0,0.0
2015-02-09 00:00:00-05:00,26.35387627632108,26.4938196473041,26.179693395686797,26.265544891357422,30314000,0.0,0.0
2015-02-10 00:00:00-05:00,26.40796970983827,26.847150557367968,26.26008689830117,26.805465698242188,47430000,0.0,0.0
2015-02-11 00:00:00-05:00,26.784126109376253,26.894293773076562,26.59902414091422,26.698274612426758,38306000,0.0,0.0
2015-02-12 00:00:00-05:00,26.780653577630602,27.211399015379424,26.648651523608574,27.095773696899414,48590000,0.0,0.0
