date,open,high,low,close,volume,dividends,stock splits
2015-01-02 00:00:00-05:00,39.77321265360761,40.42103894931218,39.67092497568934,39.85845184326172,27913900,0.0,0.0
2015-01-05 00:00:00-05:00,39.5260103778422,39.83287663163892,39.4237227104654,39.49191665649414,39673900,0.0,0.0
2015-01-06 00:00:00-05:00,39.534547787119834,39.84993675039948,38.81852740314223,38.91229248046875,36447900,0.0,0.0
2015-01-07 00:00:00-05:00,39.1935912021839,39.60274531316567,38.77591446982802,39.40669250488281,29114100,0.0,0.0
2015-01-08 00:00:00-05:00,39.84994699181985,40.70235227506733,39.82437587385621,40.56596755981445,29645200,0.0,0.0
2015-01-09 00:00:00-05:00,40.582994938876915,40.761999174816154,39.977788283082496,40.22498321533203,23944200,0.0,0.0
2015-01-12 00:00:00-05:00,40.42104833887965,40.52333929222615,39.51750101265745,39.722076416015625,23651900,0.0,0.0
2015-01-13 00:00:00-05:00,40.037461744050454,40.838721230493306,39.261773365703235,39.517494201660156,35270600,0.0,0.0
2015-01-14 00:00:00-05:00,39.176536560058594,39.41521219276174,38.88671870380052,39.176536560058594,29719600,0.0,0.0
2015-01-15 00:00:00-05:00,39.39815702692828,39.53454168608323,38.707707860893805,38.76737594604492,32750800,0.0,0.0
2015-01-16 00:00:00-05:00,38.622470033671014,39.44930063642363,38.50313060748315,39.41520690917969,35695300,0.0,0.0
2015-01-20 00:00:00-05:00,39.46634373649462,39.7646873837232,38.84408858884612,39.543060302734375,36161900,0.0,0.0
2015-01-21 00:00:00-05:00,39.15948547181151,39.329967126247716,38.767379942775186,39.14243698120117,39081100,0.0,0.0
2015-01-22 00:00:00-05:00,39.53453596217542,40.182362186450845,39.278815169742124,40.1738395690918,35898000,0.0,0.0
2015-01-23 00:00:00-05:00,40.3698981444008,40.395469251855694,39.89255021135323,40.21646499633789,26211600,0.0,0.0
2015-01-26 00:00:00-05:00,40.06303347236706,40.17384702860842,39.415207127802645,40.071556091308594,42525500,0.0,0.0
2015-01-27 00:00:00-05:00,36.61079226440187,36.823893496148486,35.894771995666574,36.36359405517578,169164000,0.0,0.0
2015-01-28 00:00:00-05:00,36.43176799496087,36.47438756756217,35.08496738943823,35.110538482666016,84507100,0.0,0.0
2015-01-29 00:00:00-05:00,34.888929034801826,35.90328958523435,34.769592882005796,35.80952453613281,63585300,0.0,0.0
2015-01-30 00:00:00-05:00,35.41741636442457,35.442990717806396,34.39453002413446,34.43715286254883,78004900,0.0,0.0
2015-02-02 00:00:00-05:00,34.599116694022364,35.263991507637435,34.292250394917936,35.18727493286133,50352500,0.0,0.0
2015-02-03 00:00:00-05:00,35.48562303809596,35.74134390201399,34.991226549742855,35.46004867553711,52082400,0.0,0.0
2015-02-04 00:00:00-05:00,35.74985480725598,35.98000448486701,35.25546173257263,35.664615631103516,41614800,0.0,0.0
2015-02-05 00:00:00-05:00,35.98855182134255,36.34656047674129,35.681685401476145,36.18460464477539,36548200,0.0,0.0
2015-02-06 00:00:00-05:00,36.38063950841219,36.47440456282387,35.928865975337494,36.150489807128906,34616600,0.0,0.0
2015-02-09 00:00:00-05:00,36.005591939738146,36.43179447890723,35.98001757625422,36.107879638671875,31381100,0.0,0.0
2015-02-10 00:00:00-05:00,36.43178983609501,36.45736094465286,35.95444188245789,36.31245040893555,29670700,0.0,0.0
2015-02-11 00:00:00-05:00,36.35506192221717,36.35506192221717,35.98000177143277,36.12491226196289,38262500,0.0,0.0
2015-02-12 00:00:00-05:00,36.36359107851247,36.730125427246094,36.23572904926438,36.730125427246094,33268800,0.0,0.0
2015-02-13 00:00:00-05:00,36.97732389550948,37.39500045776367,36.78127116707046,37.39500045776367,40264900,0.0,0.0
